title;artist;top genre;bpm;nrgy;dnce;dB;live;dur;acous;spch
Tonight Tonight;Hot Chelle Rae;dance pop;100;78;69;-5;16;200;8;12
What the Hell;Avril Lavigne;canadian pop;150;93;58;-4;14;221;0;5
Born This Way;Lady Gaga;dance pop;124;83;59;-5;33;260;0;16
Monster;Kanye West;chicago rap;125;69;63;-6;67;379;0;20
Marry You;Bruno Mars;pop;145;83;62;-5;10;230;33;4
Best Thing I Never Had;Beyoncé;dance pop;99;65;55;-4;9;254;14;3
Party Rock Anthem;LMFAO;dance pop;130;74;75;-4;27;262;2;16
We R Who We R;Kesha;dance pop;120;82;74;-5;12;205;1;4
Price Tag;Jessie J;australian pop;175;83;64;-4;27;223;3;18
Good Life;OneRepublic;dance pop;95;69;63;-8;13;253;8;5
Just Can’t Get Enough;The Black Eyed Peas;dance pop;94;63;66;-9;11;219;19;18
On The Floor;Jennifer Lopez;dance pop;130;78;73;-5;7;285;11;5
What's My Name?;Rihanna;barbadian pop;100;79;69;-3;8;263;23;7
Yeah 3x;Chris Brown;dance pop;130;88;71;-3;9;242;0;4
Without You (feat. Usher);David Guetta;dance pop;128;61;61;-4;16;208;23;3
Sexy And I Know It;LMFAO;dance pop;130;86;71;-4;19;199;10;32
The Edge Of Glory;Lady Gaga;dance pop;128;77;58;-6;11;321;0;4
E.T.;Katy Perry;dance pop;152;87;62;-5;37;230;2;18
Till the World Ends;Britney Spears;dance pop;132;71;69;-6;20;238;2;7
I Wanna Go;Britney Spears;dance pop;130;55;70;-7;33;210;0;4
What Makes You Beautiful;One Direction;boy band;125;79;73;-2;6;200;1;7
I Knew You Were Trouble.;Taylor Swift;pop;77;47;62;-7;3;220;0;4
Call Me Maybe;Carly Rae Jepsen;canadian pop;120;58;78;-7;11;193;1;4
Love You Like A Love Song;Selena Gomez & The Scene;dance pop;117;68;86;-4;7;188;8;5
Set Fire to the Rain;Adele;british soul;108;68;61;-4;13;242;0;3
We Are Never Ever Getting Back Together;Taylor Swift;pop;86;68;63;-6;12;193;1;9
Stronger (What Doesn't Kill You);Kelly Clarkson;dance pop;116;94;56;-4;11;222;5;5
Try;P!nk;dance pop;104;63;67;-7;9;248;0;3
Starships;Nicki Minaj;dance pop;125;72;75;-2;25;211;14;8
One More Night;Maroon 5;pop;93;82;72;-3;8;220;6;3
Good Time;Owl City;pop;126;87;56;-4;37;206;2;14
Glad You Came;The Wanted;boy band;127;85;72;-4;11;198;3;6
Beauty And A Beat;Justin Bieber;canadian pop;128;84;60;-5;7;228;0;6
International Love;Pitbull;dance pop;120;86;67;-3;34;227;1;5
Some Nights;fun.;baroque pop;108;74;67;-7;9;277;2;5
Boyfriend;Justin Bieber;canadian pop;97;55;72;-6;13;171;4;5
Part Of Me;Katy Perry;dance pop;130;92;68;-5;7;216;0;4
Domino;Jessie J;australian pop;127;55;76;-5;4;232;1;3
Where Have You Been;Rihanna;barbadian pop;128;85;72;-6;22;243;0;9
Wide Awake;Katy Perry;dance pop;160;68;51;-5;39;221;7;4
The One That Got Away;Katy Perry;dance pop;134;80;69;-4;16;227;0;4
Dance Again;Jennifer Lopez;dance pop;128;86;79;-5;10;237;2;7
Turn Up the Music;Chris Brown;dance pop;130;84;59;-6;16;228;0;10
Lights - Single Version;Ellie Goulding;dance pop;120;80;68;-6;13;211;3;4
We Are Young (feat. Janelle Monáe);fun.;baroque pop;184;64;38;-6;8;251;2;8
Diamonds;Rihanna;barbadian pop;92;71;56;-5;11;225;0;5
Don't Stop the Party (feat. TJR);Pitbull;dance pop;127;96;72;-4;38;206;1;9
You Da One;Rihanna;barbadian pop;127;72;70;-5;13;200;50;4
Stereo Hearts (feat. Adam Levine);Gym Class Heroes;dance pop;90;80;65;-3;27;211;3;10
It Will Rain;Bruno Mars;pop;150;84;58;-7;8;258;34;5
Blow Me (One Last Kiss);P!nk;dance pop;114;92;60;-3;25;256;0;4
Underneath the Tree;Kelly Clarkson;dance pop;160;81;51;-5;21;230;0;5
Wake Me Up;Avicii;big room;124;78;53;-6;16;247;0;5
Story of My Life;One Direction;boy band;121;66;60;-6;12;245;23;5
Just Give Me a Reason (feat. Nate Ruess);P!nk;dance pop;95;55;78;-7;13;243;35;5
Hall of Fame;The Script;celtic rock;85;87;42;-4;12;203;7;6
Roar;Katy Perry;dance pop;180;77;55;-5;35;224;0;4
We Can't Stop;Miley Cyrus;dance pop;80;62;61;-6;37;231;1;3
Don't You Worry Child - Radio Edit;Swedish House Mafia;big room;129;84;61;-3;12;213;11;5
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Daft Punk;electro;116;81;79;-9;10;248;4;4
Wrecking Ball;Miley Cyrus;dance pop;120;42;53;-6;11;221;41;3
Impossible;James Arthur;pop;170;70;38;-5;11;209;14;9
Blurred Lines;Robin Thicke;dance pop;120;60;85;-5;8;264;0;4
Heart Attack;Demi Lovato;dance pop;174;79;50;-5;24;211;7;10
We Are Never Ever Getting Back Together;Taylor Swift;pop;86;68;63;-6;12;193;1;9
Die Young;Kesha;dance pop;128;70;71;-5;22;212;0;5
Clarity;Zedd;complextro;128;78;51;-3;7;271;4;7
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Lana Del Rey;art pop;126;81;57;-6;13;215;2;6
Under Control;Calvin Harris;dance pop;126;92;54;-3;12;184;13;8
Everybody Talks;Neon Trees;indie pop;155;92;47;-4;31;177;0;6
Hold On, We're Going Home;Drake;canadian hip hop;100;41;77;-7;7;228;0;10
Best Song Ever;One Direction;boy band;118;88;65;-3;8;200;2;5
Kiss You;One Direction;boy band;90;93;63;-3;32;183;2;6
Sweet Nothing (feat. Florence Welch);Calvin Harris;dance pop;128;93;57;-4;6;213;20;11
Lose Yourself to Dance;Daft Punk;electro;100;66;83;-8;8;354;8;6
Work Bitch;Britney Spears;dance pop;128;82;63;-7;7;248;16;16
Brave;Sara Bareilles;acoustic pop;185;84;55;-4;4;221;1;5
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;dance pop;146;93;63;-4;10;258;3;8
Feel This Moment (feat. Christina Aguilera);Pitbull;dance pop;136;76;67;-4;34;230;4;16
Beneath Your Beautiful;Labrinth;pop;84;52;56;-6;10;272;23;4
Let Me Love You (Until You Learn To Love Yourself);Ne-Yo;dance pop;125;68;66;-7;37;252;25;4
Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;dance pop;95;53;78;-7;5;236;6;29
If I Lose Myself - Alesso vs OneRepublic;OneRepublic;dance pop;126;75;52;-6;14;215;26;4
The Way;Ariana Grande;dance pop;82;88;65;-3;8;227;29;11
Suit & Tie;Justin Timberlake;dance pop;102;60;80;-4;16;326;10;22
#thatPOWER;will.i.am;dance pop;128;61;80;-6;7;280;0;6
I Love It (feat. Charli XCX);Icona Pop;candy pop;126;91;71;-3;15;157;1;3
Play Hard (feat. Ne-Yo & Akon) - New Edit;David Guetta;dance pop;130;87;72;-3;66;209;4;4
Daylight;Maroon 5;pop;120;67;66;-5;26;225;0;3
Love Somebody;Maroon 5;pop;120;78;68;-6;12;230;13;4
A Little Party Never Killed Nobody (All We Got);Fergie;dance pop;130;62;76;-6;9;241;1;18
Move;Little Mix;dance pop;121;74;85;-5;55;224;0;9
Walks Like Rihanna;The Wanted;boy band;126;82;56;-3;10;202;1;6
Rock N Roll;Avril Lavigne;canadian pop;184;96;47;-3;34;207;1;13
Heartbreaker;Justin Bieber;canadian pop;105;52;56;-7;34;263;14;10
Mirrors - Radio Edit;Justin Timberlake;dance pop;77;60;58;-6;43;277;14;5
Next To Me;Emeli Sandé;dance pop;95;80;67;-5;11;197;9;4
Made In The USA;Demi Lovato;dance pop;87;86;58;-4;32;196;0;4
Clown;Emeli Sandé;dance pop;130;23;45;-8;11;221;92;4
Girl On Fire (feat. Nicki Minaj) - Inferno Version;Alicia Keys;hip pop;93;81;55;-6;15;271;9;31
TKO;Justin Timberlake;dance pop;138;68;61;-7;43;424;1;24
Come & Get It;Selena Gomez;dance pop;80;79;55;-4;10;232;1;5
Live It Up;Jennifer Lopez;dance pop;128;73;69;-5;33;244;1;17
We Own The Night;The Wanted;boy band;104;94;55;-4;23;206;1;13
Atlas - From “The Hunger Games: Catching Fire” Soundtrack;Coldplay;permanent wave;136;45;28;-8;11;236;63;3
What About Love;Austin Mahone;dance pop;100;78;63;-7;4;203;0;4
Take Back the Night;Justin Timberlake;dance pop;107;66;59;-5;64;353;4;16
Applause;Lady Gaga;dance pop;140;78;67;-4;11;212;3;5
Anything Could Happen;Ellie Goulding;dance pop;103;78;70;-4;14;286;43;3
Finally Found You;Enrique Iglesias;dance pop;128;88;62;-5;35;221;1;10
Pom Poms;Jonas Brothers;boy band;148;98;68;-2;28;198;7;9
#Beautiful;Mariah Carey;dance pop;107;76;68;-5;31;200;29;4
How Ya Doin'? (feat. Missy Elliott);Little Mix;dance pop;201;95;36;-3;37;211;9;48
Crazy Kids (feat. will.i.am);Kesha;dance pop;128;75;72;-4;13;229;4;4
"Ooh La La (from ""The Smurfs 2"")";Britney Spears;dance pop;128;57;69;-5;11;257;2;5
People Like Us;Kelly Clarkson;dance pop;128;79;60;-5;36;259;4;4
Overdose;Ciara;dance pop;107;70;77;-6;6;227;1;3
Right Now - Dyro Radio Edit;Rihanna;barbadian pop;130;74;53;-6;24;186;0;4
Give It 2 U;Robin Thicke;dance pop;127;83;67;-4;16;230;10;7
Foolish Games;Jewel;alaska indie;132;34;51;-11;12;250;23;3
Outta Nowhere (feat. Danny Mercer);Pitbull;dance pop;95;84;71;-4;21;207;16;3
Freak;Kelly Rowland;atl hip hop;104;78;65;-5;12;274;13;6
All of Me;John Legend;neo mellow;120;26;42;-7;13;270;92;3
Stay With Me;Sam Smith;pop;84;42;42;-6;11;173;59;4
Summer;Calvin Harris;dance pop;128;86;60;-4;14;223;2;3
"Happy - From ""Despicable Me 2""";Pharrell Williams;dance pop;160;82;65;-5;9;233;22;18
Rude;MAGIC!;pop;144;76;77;-5;31;225;4;4
Shake It Off;Taylor Swift;pop;160;80;65;-5;33;219;6;17
Dark Horse;Katy Perry;dance pop;132;59;65;-6;17;216;0;5
Wiggle (feat. Snoop Dogg);Jason Derulo;dance pop;82;62;70;-7;16;193;8;25
Love Runs Out;OneRepublic;dance pop;120;93;72;-4;8;225;17;6
This Is How We Do;Katy Perry;dance pop;96;64;69;-6;15;204;2;5
Mmm Yeah (feat. Pitbull);Austin Mahone;dance pop;126;92;71;-4;27;232;0;4
A Little Party Never Killed Nobody (All We Got);Fergie;dance pop;130;62;76;-6;9;241;1;18
#SELFIE;The Chainsmokers;electropop;128;92;79;-3;8;184;1;25
Partition;Beyoncé;dance pop;186;44;41;-12;31;319;3;29
Birthday;Katy Perry;dance pop;126;67;72;-5;11;215;9;7
G.U.Y.;Lady Gaga;dance pop;110;92;62;-3;12;233;1;4
Stay The Night - Featuring Hayley Williams Of Paramore;Zedd;complextro;128;74;60;-3;9;217;11;4
"Let It Go - From ""Frozen / Single Version";Demi Lovato;dance pop;140;66;50;-6;27;226;3;4
Wings;Birdy;neo mellow;83;71;47;-5;16;252;8;3
Can't Remember to Forget You (feat. Rihanna);Shakira;colombian pop;138;81;69;-4;14;207;12;7
Shot Me Down (feat. Skylar Grey) - Radio Edit;David Guetta;dance pop;192;77;35;-4;12;191;6;5
Say Something;A Great Big World;neo mellow;138;15;45;-9;9;229;87;3
A Sky Full of Stars;Coldplay;permanent wave;125;68;55;-6;21;268;1;3
Come Get It Bae;Pharrell Williams;dance pop;120;80;93;-6;10;202;27;8
Chandelier;Sia;australian dance;174;78;29;-3;7;216;2;7
XO;Beyoncé;dance pop;170;79;47;-9;31;216;17;26
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song];Pitbull;dance pop;125;94;60;-4;10;222;0;7
Not About Angels;Birdy;neo mellow;116;14;41;-10;9;190;97;4
Drunk in Love;Beyoncé;dance pop;140;62;59;-7;18;323;1;5
Anaconda;Nicki Minaj;dance pop;130;60;96;-6;21;260;7;18
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter;Charli XCX;candy pop;92;81;68;-4;34;169;7;6
La La La (Brasil 2014) (feat. Carlinhos Brown);Shakira;colombian pop;128;82;80;-5;35;198;18;4
Tee Shirt - Soundtrack Version;Birdy;neo mellow;76;34;68;-9;9;160;84;3
Words as Weapons;Birdy;neo mellow;120;35;53;-9;14;239;28;3
You're Mine (Eternal);Mariah Carey;dance pop;149;58;63;-7;38;224;28;7
Sheezus;Lily Allen;dance pop;130;50;78;-7;11;235;15;4
Cannonball;Lea Michele;hollywood;92;82;56;-3;19;215;2;5
It's On Again - Main Soundtrack;Alicia Keys;hip pop;110;54;64;-9;25;230;10;11
I Luh Ya Papi;Jennifer Lopez;dance pop;96;73;74;-6;12;207;45;42
Not a Bad Thing;Justin Timberlake;dance pop;86;73;59;-6;38;266;27;6
Thinking out Loud;Ed Sheeran;pop;79;45;78;-6;18;282;47;3
I'm Not The Only One;Sam Smith;pop;82;49;68;-6;8;239;53;4
The Hills;The Weeknd;canadian contemporary r&b;113;56;58;-7;14;242;7;5
Love Yourself;Justin Bieber;canadian pop;100;38;61;-10;28;234;84;44
Uptown Funk;Mark Ronson;dance pop;115;61;86;-7;3;270;1;8
Take Me To Church;Hozier;irish singer-songwriter;129;66;57;-5;12;242;63;5
Sugar;Maroon 5;pop;120;79;75;-7;9;235;6;3
Sorry;Justin Bieber;canadian pop;100;76;65;-4;30;201;8;5
FourFiveSeconds;Rihanna;barbadian pop;206;27;58;-6;13;188;88;5
"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;dance pop;190;61;26;-7;13;253;25;5
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";The Weeknd;canadian contemporary r&b;120;38;66;-6;10;252;39;3
What Do You Mean?;Justin Bieber;canadian pop;125;57;85;-8;8;206;59;10
Stitches;Shawn Mendes;canadian pop;150;75;75;-7;5;207;2;7
Want to Want Me;Jason Derulo;dance pop;114;68;78;-6;11;208;1;6
My House;Flo Rida;dance pop;94;70;69;-5;13;192;2;5
Waves - Robin Schulz Radio Edit;Mr. Probz;tropical house;120;51;83;-9;8;208;1;4
Night Changes;One Direction;boy band;120;52;67;-8;12;227;86;4
How Deep Is Your Love;Calvin Harris;dance pop;122;87;74;-4;39;213;4;7
Never Forget You;Zara Larsson;dance pop;146;73;58;-6;27;213;0;5
Love Me Harder;Ariana Grande;dance pop;99;71;47;-4;8;236;1;3
Animals;Maroon 5;pop;190;74;28;-6;59;231;0;9
Blame;Calvin Harris;dance pop;128;86;41;-4;34;213;3;8
Worth It;Fifth Harmony;dance pop;100;77;88;-4;12;225;6;9
Break Free;Ariana Grande;dance pop;130;70;69;-5;20;215;1;5
Don't;Ed Sheeran;pop;95;61;81;-7;64;220;1;7
Elastic Heart;Sia;australian dance;130;79;42;-5;15;257;1;5
Rather Be (feat. Jess Glynne);Clean Bandit;dance pop;121;59;80;-7;19;228;16;4
Hello;Adele;british soul;158;45;48;-6;9;295;34;3
Dear Future Husband;Meghan Trainor;dance pop;79;78;66;-5;32;184;38;19
43776;Beyoncé;dance pop;136;71;75;-5;13;214;1;13
The Heart Wants What It Wants;Selena Gomez;dance pop;83;79;62;-5;14;227;5;4
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);David Guetta;dance pop;86;73;60;-4;33;193;24;15
Genie In a Bottle;Christina Aguilera;dance pop;176;80;63;-7;14;218;21;16
Company;Justin Bieber;canadian pop;95;80;59;-5;8;208;13;6
Sing;Ed Sheeran;pop;120;67;82;-4;6;235;30;5
Jealous - Remix;Nick Jonas;dance pop;93;71;68;-4;44;222;1;8
Really Don't Care;Demi Lovato;dance pop;121;73;71;-4;19;202;12;9
Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally);Macklemore & Ryan Lewis;dance pop;110;61;83;-4;29;293;9;7
Only Love Can Hurt Like This;Paloma Faith;british soul;91;89;57;-5;33;233;10;8
Heartbeat Song;Kelly Clarkson;dance pop;149;80;49;-4;6;199;1;5
Up;Olly Murs;dance pop;115;85;69;-5;10;224;2;3
Trumpets;Jason Derulo;dance pop;82;70;63;-5;10;217;56;24
Runnin' (Lose It All);Naughty Boy;tropical house;139;85;32;-6;48;213;1;8
Same Old Love;Selena Gomez;dance pop;98;59;67;-4;21;229;2;3
I Want You To Know;Zedd;complextro;130;85;58;-3;14;240;1;6
Lips Are Movin;Meghan Trainor;dance pop;139;83;78;-5;11;183;5;5
I'll Show You;Justin Bieber;canadian pop;192;61;36;-7;18;200;5;10
Here;Alessia Cara;canadian contemporary r&b;120;82;38;-4;8;199;8;10
I Lived;OneRepublic;dance pop;120;85;59;-5;27;235;7;4
Fireball (feat. John Ryan);Pitbull;dance pop;123;94;69;-5;5;235;9;6
Easy Love;Sigala;dance pop;124;94;68;-4;12;230;18;6
The Feeling;Justin Bieber;canadian pop;127;81;53;-6;10;245;8;6
I Really Like You;Carly Rae Jepsen;canadian pop;122;81;62;-5;22;205;1;4
BO$$;Fifth Harmony;dance pop;103;87;81;-5;5;171;1;11
Sugar;Maroon 5;pop;120;79;75;-7;9;235;6;3
Focus;Ariana Grande;dance pop;100;88;67;-6;44;211;27;24
All About That Bass;Meghan Trainor;dance pop;134;88;81;-4;11;189;5;5
On My Mind;Ellie Goulding;dance pop;155;71;70;-7;9;213;26;5
Love Me Like You;Little Mix;dance pop;106;67;79;-4;28;198;21;4
Broken Arrows;Avicii;big room;116;67;63;-7;10;233;5;5
Booty;Jennifer Lopez;dance pop;129;95;71;-4;26;210;0;5
What Do You Mean? - Acoustic;Justin Bieber;canadian pop;125;36;77;-11;10;204;79;4
Mark My Words;Justin Bieber;canadian pop;114;26;38;-9;17;134;88;3
Lay It All on Me;Rudimental;dance pop;123;75;67;-7;19;242;14;4
American Oxygen;Rihanna;barbadian pop;78;75;39;-6;33;320;5;9
Bang Bang;Jessie J;australian pop;150;75;71;-4;38;199;27;9
Reality - Radio Edit;Lost Frequencies;belgian edm;122;70;71;-8;7;159;2;3
Alive;Sia;australian dance;100;76;51;-4;11;264;25;5
Sugar (feat. Francesco Yates);Robin Schulz;dance pop;123;82;64;-5;16;219;2;6
Been You;Justin Bieber;canadian pop;113;78;74;-6;32;199;2;7
Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;french indie pop;123;89;76;-5;62;189;2;3
See You Again (feat. Charlie Puth);Wiz Khalifa;hip hop;80;48;69;-8;6;230;37;8
Heroes (we could be);Alesso;big room;126;75;52;-4;24;210;4;6
"Feel The Light - From The ""Home"" Soundtrack";Jennifer Lopez;dance pop;156;60;47;-6;9;292;33;5
Perfect;One Direction;boy band;100;82;65;-5;12;230;6;8
Ghosttown;Madonna;dance pop;79;55;54;-7;12;250;4;4
Bang My Head (feat. Sia & Fetty Wap);David Guetta;dance pop;108;87;60;-4;10;193;5;8
Bloodstream;Ed Sheeran;pop;89;59;48;-6;6;309;20;5
Living For Love;Madonna;dance pop;123;79;67;-5;25;219;4;9
Baby Don't Lie;Gwen Stefani;dance pop;100;55;69;-5;10;203;1;3
Don't Be so Hard on Yourself;Jess Glynne;dance pop;120;82;57;-3;16;211;6;3
Steal My Girl;One Direction;boy band;77;76;47;-6;14;227;0;4
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")";Pitbull;dance pop;127;85;68;-3;6;193;1;6
We Are Here;Alicia Keys;hip pop;93;67;64;-6;8;285;43;4
St Jude;Florence + The Machine;art pop;117;43;26;-11;11;225;75;3
Yesterday (feat. Bebe Rexha);David Guetta;dance pop;128;78;57;-4;33;243;2;3
Time of Our Lives;Pitbull;dance pop;124;80;72;-6;69;229;9;6
Sparks;Hilary Duff;dance pop;122;88;85;-5;10;186;4;6
Mr. Put It Down;Ricky Martin;dance pop;128;78;80;-6;4;196;1;18
Legendary Lovers;Katy Perry;dance pop;126;84;62;-5;8;224;2;8
Spark The Fire;Gwen Stefani;dance pop;120;80;88;-4;20;202;8;6
Run Run Run;Kelly Clarkson;dance pop;112;37;28;-7;11;273;45;4
Let Me Be Your Lover;Enrique Iglesias;dance pop;112;90;72;-4;6;238;1;13
Dangerous;Jennifer Hudson;dance pop;109;53;90;-5;8;255;0;5
L.A.LOVE (la la);Fergie;dance pop;202;39;48;-8;26;193;2;9
The Hills;The Weeknd;canadian contemporary r&b;113;56;58;-7;14;242;7;5
Love Yourself;Justin Bieber;canadian pop;100;38;61;-10;28;234;84;44
Cake By The Ocean;DNCE;dance pop;119;75;77;-5;4;219;15;5
Don't Let Me Down;The Chainsmokers;electropop;160;87;53;-5;14;208;16;17
In the Name of Love;Martin Garrix;big room;134;52;50;-6;45;196;11;4
Into You;Ariana Grande;dance pop;108;73;62;-6;14;244;2;11
This Is What You Came For;Calvin Harris;dance pop;124;93;63;-3;15;222;20;3
Million Reasons;Lady Gaga;dance pop;130;42;67;-8;11;205;49;4
Needed Me;Rihanna;barbadian pop;111;31;67;-8;8;192;11;24
7 Years;Lukas Graham;danish pop;120;47;77;-6;39;237;29;5
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;dance pop;113;83;67;-6;19;236;1;7
Work from Home (feat. Ty Dolla $ign);Fifth Harmony;dance pop;105;59;80;-6;6;214;10;4
Scars To Your Beautiful;Alessia Cara;canadian contemporary r&b;97;74;57;-6;11;230;3;13
Like I'm Gonna Lose You (feat. John Legend);Meghan Trainor;dance pop;108;53;63;-7;18;225;40;4
Work;Rihanna;barbadian pop;92;53;73;-6;9;219;8;9
Stitches;Shawn Mendes;canadian pop;150;75;75;-7;5;207;2;7
Me, Myself & I;G-Eazy;hip hop;112;67;76;-7;16;251;2;10
I Took A Pill In Ibiza - Seeb Remix;Mike Posner;dance pop;102;71;66;-7;8;198;4;11
Dangerous Woman;Ariana Grande;dance pop;134;60;66;-5;36;236;5;4
Starving;Hailee Steinfeld;dance pop;100;62;73;-4;11;182;38;6
Shout Out to My Ex;Little Mix;dance pop;126;75;77;-4;11;246;2;9
Electric Love;BØRNS;electropop;120;80;61;-8;26;218;1;5
Confident;Demi Lovato;dance pop;130;75;59;-6;9;206;0;7
Too Good;Drake;canadian hip hop;118;65;79;-8;10;263;5;10
Company;Justin Bieber;canadian pop;95;80;59;-5;8;208;13;6
Hands To Myself;Selena Gomez;dance pop;111;50;81;-7;34;201;1;12
All I Ask;Adele;british soul;142;28;59;-5;15;272;88;3
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";P!nk;dance pop;163;70;63;-6;11;215;1;15
NO;Meghan Trainor;dance pop;92;80;56;-4;74;214;1;22
Desire;Years & Years;dance pop;126;78;71;-5;30;203;30;6
When We Were Young;Adele;british soul;144;59;38;-6;9;291;35;5
I Know What You Did Last Summer;Shawn Mendes;canadian pop;114;77;68;-5;16;224;11;10
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture;Florence + The Machine;art pop;94;57;37;-6;13;403;72;3
Hurts;Emeli Sandé;dance pop;106;64;58;-8;15;238;2;3
Change;Christina Aguilera;dance pop;82;54;62;-6;13;187;68;8
Make Me... (feat. G-Eazy);Britney Spears;dance pop;123;70;70;-7;22;231;16;10
Keeping Your Head Up;Birdy;neo mellow;122;78;60;-5;19;208;16;5
True Colors;Zedd;complextro;126;79;57;-3;10;225;40;4
Make Me Like You;Gwen Stefani;dance pop;118;71;74;-5;13;217;4;5
Champagne Problems;Nick Jonas;dance pop;108;78;73;-5;9;193;0;13
Blown;DNCE;dance pop;130;95;63;-5;10;197;0;4
Start;John Legend;neo mellow;110;4;52;-15;9;310;99;4
Pep Rally;Missy Elliott;dance pop;90;75;83;-4;20;263;22;12
Higher;Carly Rae Jepsen;canadian pop;114;87;65;-5;37;234;1;6
Invitation;Britney Spears;dance pop;112;65;37;-7;9;200;3;11
One Call Away (feat. Tyga) - Remix;Charlie Puth;dance pop;91;69;75;-5;13;192;26;4
Beautiful Birds (feat. Birdy);Passenger;folk-pop;86;17;39;-13;11;214;91;3
Little Lies;Hilary Duff;dance pop;124;76;57;-6;4;204;0;6
Do You Wanna Come Over?;Britney Spears;dance pop;121;70;75;-6;11;203;1;7
BURNITUP!;Janet Jackson;dance pop;123;71;83;-7;31;250;5;18
Picky - Remix;Joey Montana;latin;186;81;70;-3;37;225;9;7
Behind Your Back;Nelly Furtado;canadian latin;98;47;80;-10;7;228;25;4
Million Years Ago;Adele;british soul;0;0;0;-60;0;227;0;0
Shape of You;Ed Sheeran;pop;96;65;83;-3;9;234;58;8
